model,dataset,pct,trial,train_time,test_acc
Perceptron,face,0.9,3,0.6908731460571289,0.7933333333333333
Perceptron,face,0.9,4,0.6386251449584961,0.8
Perceptron,face,1.0,0,0.7284741401672363,0.8666666666666667
Perceptron,face,1.0,1,0.8601982593536377,0.8666666666666667
Perceptron,face,1.0,2,0.6994729042053223,0.86
Perceptron,face,1.0,3,0.6952259540557861,0.8533333333333334
Perceptron,face,1.0,4,0.6748950481414795,0.8733333333333333
Perceptron,face,0.1,0,0.1597697734832763,0.5666666666666667
Perceptron,face,0.1,1,0.1382679939270019,0.6066666666666667
Perceptron,face,0.1,2,0.1264572143554687,0.6066666666666667
Perceptron,face,0.1,3,0.1187288761138916,0.6066666666666667
Perceptron,face,0.1,4,0.1260509490966797,0.6066666666666667
Perceptron,face,0.2,0,0.1612777709960937,0.5933333333333334
Perceptron,face,0.2,1,0.1728498935699463,0.6733333333333333
Perceptron,face,0.2,2,0.1582159996032714,0.68
Perceptron,face,0.2,3,0.1535139083862304,0.7266666666666667
Perceptron,face,0.2,4,0.1420979499816894,0.6066666666666667
Perceptron,face,0.3,0,0.1749670505523681,0.7733333333333333
Perceptron,face,0.3,1,0.1922278404235839,0.7266666666666667
Perceptron,face,0.3,2,0.227895975112915,0.7533333333333333
Perceptron,face,0.3,3,0.1839070320129394,0.7666666666666667
Perceptron,face,0.3,4,0.2434639930725097,0.7733333333333333
Perceptron,face,0.4,0,0.3123888969421386,0.7733333333333333
Perceptron,face,0.4,1,0.2681529521942138,0.7933333333333333
Perceptron,face,0.4,2,0.2114019393920898,0.78
Perceptron,face,0.4,3,0.2794082164764404,0.7666666666666667
Perceptron,face,0.4,4,0.3101770877838135,0.82
Perceptron,face,0.5,0,0.491765022277832,0.7666666666666667
Perceptron,face,0.5,1,0.3927710056304931,0.84
Perceptron,face,0.5,2,0.3105599880218506,0.7733333333333333
Perceptron,face,0.5,3,0.3134710788726806,0.7866666666666666
Perceptron,face,0.5,4,0.3556389808654785,0.7466666666666667
Perceptron,face,0.6,0,0.2909791469573974,0.82
Perceptron,face,0.6,1,0.303847074508667,0.76
Perceptron,face,0.6,2,0.3100950717926025,0.78
Perceptron,face,0.6,3,0.3866159915924072,0.8133333333333334
Perceptron,face,0.6,4,0.2965819835662842,0.8333333333333334
Perceptron,face,0.7,0,0.4028370380401611,0.8266666666666667
Perceptron,face,0.7,1,0.6290292739868164,0.82
Perceptron,face,0.7,2,0.3619639873504638,0.86
Perceptron,face,0.7,3,0.4171540737152099,0.8133333333333334
Perceptron,face,0.7,4,0.4405910968780517,0.8266666666666667
Perceptron,face,0.8,0,0.4464361667633056,0.8266666666666667
