model,dataset,pct,trial,train_time,test_acc
Perceptron,digit,1.0,1,1.9360709190368652,0.587
Perceptron,digit,1.0,2,1.6278488636016846,0.595
Perceptron,digit,1.0,3,2.0126991271972656,0.614
Perceptron,digit,1.0,4,1.6901848316192627,0.564
Perceptron,digit,0.1,0,0.1643338203430175,0.361
Perceptron,digit,0.1,1,0.1646358966827392,0.441
Perceptron,digit,0.1,2,0.1831820011138916,0.429
Perceptron,digit,0.1,3,0.5948758125305176,0.474
Perceptron,digit,0.1,4,0.2085371017456054,0.455
Perceptron,digit,0.2,0,0.3177049160003662,0.434
Perceptron,digit,0.2,1,0.1973879337310791,0.48
Perceptron,digit,0.2,2,0.2345478534698486,0.529
Perceptron,digit,0.2,3,0.2300200462341308,0.468
Perceptron,digit,0.2,4,0.2657899856567383,0.472
Perceptron,digit,0.3,0,0.4162559509277344,0.636
Perceptron,digit,0.3,1,0.3409640789031982,0.647
Perceptron,digit,0.3,2,0.3252427577972412,0.653
Perceptron,digit,0.3,3,0.2815017700195312,0.665
Perceptron,digit,0.3,4,0.4677619934082031,0.621
Perceptron,digit,0.4,0,0.616196870803833,0.629
Perceptron,digit,0.4,1,0.571829080581665,0.647
Perceptron,digit,0.4,2,0.5234189033508301,0.592
Perceptron,digit,0.4,3,0.6796369552612305,0.605
Perceptron,digit,0.4,4,0.5158052444458008,0.596
Perceptron,digit,0.5,0,0.7829959392547607,0.62
Perceptron,digit,0.5,1,0.8909511566162109,0.52
Perceptron,digit,0.5,2,0.7718009948730469,0.578
Perceptron,digit,0.5,3,0.6162140369415283,0.566
Perceptron,digit,0.5,4,0.8974549770355225,0.53
Perceptron,digit,0.6,0,1.0675477981567385,0.583
Perceptron,digit,0.6,1,0.96124005317688,0.585
Perceptron,digit,0.6,2,1.163743257522583,0.543
Perceptron,digit,0.6,3,1.2444238662719729,0.573
Perceptron,digit,0.6,4,1.4874303340911863,0.563
Perceptron,digit,0.7,0,1.5238239765167236,0.573
Perceptron,digit,0.7,1,1.418320894241333,0.609
Perceptron,digit,0.7,2,1.5923287868499756,0.602
Perceptron,digit,0.7,3,1.505443096160889,0.597
Perceptron,digit,0.7,4,1.424842357635498,0.584
Perceptron,digit,0.8,0,1.703197002410889,0.654
Perceptron,digit,0.8,1,2.0436079502105713,0.564
Perceptron,digit,0.8,2,2.459362030029297,0.645
Perceptron,digit,0.8,3,2.0436627864837646,0.669
Perceptron,digit,0.8,4,2.096775770187378,0.607
Perceptron,digit,0.9,0,2.554004907608032,0.653
Perceptron,digit,0.9,1,2.104379892349243,0.666
Perceptron,digit,0.9,2,2.436984062194824,0.599
Perceptron,digit,0.9,3,2.446744680404663,0.602
